timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%]
2026/08/01 21:30:14.538, 59, 1455 MHz, 29.52 W, 0 %
2026/08/01 21:30:24.543, 60, 210 MHz, 14.20 W, 31 %
2026/08/01 21:30:34.544, 60, 360 MHz, 16.01 W, 51 %
2026/08/01 21:30:44.545, 60, 375 MHz, 16.63 W, 44 %
2026/08/01 21:30:54.546, 60, 435 MHz, 23.71 W, 33 %
2026/08/01 21:31:04.547, 61, 990 MHz, 33.73 W, 22 %
2026/08/01 21:31:14.548, 61, 1065 MHz, 37.23 W, 38 %
2026/08/01 21:31:24.548, 61, 1275 MHz, 38.71 W, 25 %
2026/08/01 21:31:34.548, 63, 1725 MHz, 46.63 W, 36 %
2026/08/01 21:31:44.549, 63, 1605 MHz, 48.98 W, 36 %
2026/08/01 21:31:54.550, 64, 1920 MHz, 52.23 W, 41 %
2026/08/01 21:32:04.551, 65, 2040 MHz, 57.60 W, 30 %
2026/08/01 21:32:14.551, 66, 2250 MHz, 60.63 W, 33 %
2026/08/01 21:32:24.552, 67, 2250 MHz, 63.48 W, 28 %
2026/08/01 21:32:34.553, 67, 2250 MHz, 62.21 W, 37 %
2026/08/01 21:32:44.555, 65, 1275 MHz, 34.73 W, 23 %
2026/08/01 21:32:54.555, 66, 1395 MHz, 42.70 W, 20 %
2026/08/01 21:33:04.556, 65, 1350 MHz, 39.37 W, 30 %
2026/08/01 21:33:14.557, 66, 1470 MHz, 46.81 W, 38 %
2026/08/01 21:33:24.558, 66, 1755 MHz, 49.66 W, 37 %
2026/08/01 21:33:34.560, 67, 1950 MHz, 53.03 W, 37 %
2026/08/01 21:33:44.560, 68, 2250 MHz, 64.28 W, 41 %
2026/08/01 21:33:54.561, 69, 2250 MHz, 63.25 W, 33 %
2026/08/01 21:34:04.562, 69, 2250 MHz, 61.96 W, 49 %
2026/08/01 21:34:14.563, 70, 2250 MHz, 62.56 W, 33 %
2026/08/01 21:34:24.564, 67, 945 MHz, 33.22 W, 32 %
2026/08/01 21:34:34.565, 67, 1095 MHz, 39.15 W, 44 %
2026/08/01 21:34:44.565, 67, 1230 MHz, 41.74 W, 33 %
2026/08/01 21:34:54.566, 68, 1755 MHz, 46.77 W, 20 %
2026/08/01 21:35:04.567, 68, 1725 MHz, 50.70 W, 45 %
