1020 MHz, 28 %, 60, 28.35 W
705 MHz, 37 %, 60, 32.71 W
1065 MHz, 17 %, 60, 29.35 W
795 MHz, 33 %, 60, 29.49 W
1005 MHz, 26 %, 61, 35.91 W
1080 MHz, 31 %, 60, 28.57 W
810 MHz, 36 %, 60, 35.34 W
915 MHz, 46 %, 60, 28.99 W
795 MHz, 28 %, 61, 36.85 W
705 MHz, 45 %, 60, 29.17 W
1125 MHz, 23 %, 61, 36.66 W
720 MHz, 33 %, 60, 29.18 W
1035 MHz, 29 %, 61, 38.29 W
750 MHz, 35 %, 60, 29.40 W
975 MHz, 47 %, 60, 29.08 W
810 MHz, 33 %, 61, 36.80 W
1050 MHz, 25 %, 61, 32.04 W
780 MHz, 28 %, 60, 29.82 W
1005 MHz, 16 %, 61, 33.14 W
765 MHz, 43 %, 61, 29.45 W
1035 MHz, 15 %, 61, 29.86 W
645 MHz, 39 %, 61, 30.66 W
975 MHz, 44 %, 60, 27.20 W
765 MHz, 30 %, 61, 36.36 W
1005 MHz, 31 %, 61, 28.41 W
795 MHz, 33 %, 61, 36.25 W
1020 MHz, 9 %, 61, 29.46 W
585 MHz, 10 %, 60, 31.69 W
870 MHz, 49 %, 60, 26.39 W
1035 MHz, 20 %, 60, 29.18 W
720 MHz, 28 %, 60, 29.85 W
1035 MHz, 26 %, 61, 29.39 W
870 MHz, 52 %, 60, 28.33 W
1065 MHz, 23 %, 61, 30.69 W
735 MHz, 26 %, 60, 28.88 W
960 MHz, 50 %, 60, 28.10 W
1035 MHz, 23 %, 61, 36.22 W
1215 MHz, 14 %, 60, 27.57 W
735 MHz, 30 %, 60, 34.28 W
1050 MHz, 25 %, 61, 35.88 W
690 MHz, 39 %, 60, 28.59 W
1020 MHz, 41 %, 60, 28.81 W
750 MHz, 35 %, 60, 32.45 W
1035 MHz, 20 %, 60, 29.98 W
750 MHz, 31 %, 60, 31.06 W
1245 MHz, 23 %, 61, 35.37 W
750 MHz, 43 %, 60, 29.27 W
990 MHz, 25 %, 61, 32.71 W
690 MHz, 33 %, 60, 29.16 W
1200 MHz, 18 %, 61, 32.33 W
855 MHz, 57 %, 60, 28.98 W
795 MHz, 26 %, 61, 36.87 W
705 MHz, 44 %, 60, 29.00 W
1290 MHz, 19 %, 61, 37.43 W
1200 MHz, 30 %, 60, 29.47 W
795 MHz, 33 %, 61, 34.97 W
1095 MHz, 25 %, 60, 29.13 W
735 MHz, 32 %, 61, 33.71 W
1005 MHz, 24 %, 61, 30.72 W
765 MHz, 32 %, 60, 32.60 W
705 MHz, 36 %, 60, 29.04 W
1215 MHz, 18 %, 61, 32.37 W
1005 MHz, 28 %, 61, 37.24 W
735 MHz, 32 %, 60, 29.73 W
720 MHz, 32 %, 60, 28.95 W
1110 MHz, 21 %, 61, 37.02 W
780 MHz, 40 %, 60, 27.89 W
1095 MHz, 22 %, 60, 27.47 W
750 MHz, 32 %, 60, 29.04 W
1020 MHz, 29 %, 61, 40.09 W
810 MHz, 49 %, 61, 29.55 W
1020 MHz, 25 %, 61, 34.55 W
645 MHz, 28 %, 60, 27.97 W
630 MHz, 44 %, 60, 25.41 W
1005 MHz, 23 %, 61, 32.38 W
795 MHz, 37 %, 60, 28.16 W
690 MHz, 30 %, 60, 28.56 W
1005 MHz, 25 %, 61, 35.86 W
990 MHz, 28 %, 61, 29.28 W
675 MHz, 24 %, 60, 33.89 W
1035 MHz, 26 %, 61, 30.17 W
690 MHz, 40 %, 60, 31.20 W
1035 MHz, 51 %, 60, 28.20 W
660 MHz, 50 %, 60, 31.80 W
1140 MHz, 18 %, 61, 33.96 W
990 MHz, 22 %, 61, 36.84 W
675 MHz, 43 %, 60, 28.85 W
855 MHz, 44 %, 60, 28.47 W
1035 MHz, 17 %, 61, 37.20 W
1305 MHz, 17 %, 61, 29.94 W
810 MHz, 28 %, 60, 34.55 W
1230 MHz, 29 %, 61, 29.00 W
780 MHz, 33 %, 61, 35.59 W
780 MHz, 35 %, 60, 28.22 W
1005 MHz, 23 %, 61, 36.98 W
1110 MHz, 23 %, 61, 29.03 W
750 MHz, 29 %, 61, 32.74 W
1095 MHz, 24 %, 61, 31.66 W
735 MHz, 37 %, 61, 29.48 W
1035 MHz, 27 %, 61, 29.80 W
750 MHz, 35 %, 61, 32.44 W
1050 MHz, 23 %, 61, 30.10 W
750 MHz, 29 %, 61, 32.33 W
675 MHz, 35 %, 60, 29.06 W
1125 MHz, 26 %, 61, 32.65 W
915 MHz, 50 %, 60, 29.27 W
750 MHz, 31 %, 61, 36.44 W
1005 MHz, 27 %, 61, 29.42 W
735 MHz, 39 %, 61, 34.06 W
1095 MHz, 21 %, 61, 28.78 W
810 MHz, 36 %, 61, 34.40 W
1005 MHz, 59 %, 60, 29.21 W
690 MHz, 26 %, 61, 35.47 W
825 MHz, 47 %, 60, 27.50 W
1125 MHz, 25 %, 60, 27.91 W
765 MHz, 40 %, 61, 34.38 W
1260 MHz, 17 %, 61, 37.53 W
765 MHz, 35 %, 61, 30.00 W
1095 MHz, 40 %, 60, 28.96 W
675 MHz, 34 %, 61, 34.30 W
930 MHz, 31 %, 60, 25.78 W
1050 MHz, 28 %, 61, 33.26 W
720 MHz, 32 %, 60, 28.81 W
990 MHz, 29 %, 61, 29.24 W
705 MHz, 28 %, 60, 33.24 W
1065 MHz, 21 %, 60, 28.14 W
720 MHz, 36 %, 61, 33.53 W
1035 MHz, 26 %, 60, 28.96 W
720 MHz, 18 %, 60, 33.13 W
1050 MHz, 23 %, 61, 36.28 W
825 MHz, 52 %, 60, 28.50 W
1110 MHz, 23 %, 61, 35.07 W
1035 MHz, 27 %, 60, 28.22 W
795 MHz, 26 %, 61, 35.21 W
1215 MHz, 25 %, 61, 31.11 W
780 MHz, 28 %, 60, 30.91 W
1155 MHz, 21 %, 61, 36.82 W
735 MHz, 31 %, 61, 29.17 W
1020 MHz, 31 %, 61, 35.17 W
840 MHz, 36 %, 60, 28.35 W
1005 MHz, 23 %, 61, 37.06 W
1110 MHz, 27 %, 61, 33.59 W
735 MHz, 24 %, 61, 29.88 W
1020 MHz, 25 %, 61, 30.24 W
735 MHz, 30 %, 61, 30.64 W
1050 MHz, 24 %, 61, 36.50 W
765 MHz, 40 %, 61, 29.60 W
1050 MHz, 31 %, 61, 37.18 W
780 MHz, 32 %, 61, 29.57 W
1050 MHz, 26 %, 61, 34.15 W
780 MHz, 41 %, 61, 29.79 W
1200 MHz, 22 %, 61, 33.22 W
795 MHz, 37 %, 61, 29.38 W
1095 MHz, 20 %, 61, 29.15 W
780 MHz, 26 %, 61, 31.70 W
1140 MHz, 23 %, 61, 32.28 W
765 MHz, 37 %, 61, 29.56 W
1245 MHz, 18 %, 61, 36.75 W
750 MHz, 26 %, 60, 29.03 W
1005 MHz, 19 %, 61, 31.45 W
660 MHz, 40 %, 60, 28.83 W
705 MHz, 32 %, 61, 28.89 W
1020 MHz, 22 %, 61, 35.75 W
720 MHz, 40 %, 61, 28.73 W
1020 MHz, 27 %, 61, 37.55 W
690 MHz, 0 %, 60, 27.45 W
270 MHz, 0 %, 60, 14.16 W
210 MHz, 21 %, 60, 10.18 W
2265 MHz, 0 %, 61, 41.74 W
255 MHz, 0 %, 60, 19.59 W
210 MHz, 0 %, 59, 9.49 W
210 MHz, 0 %, 59, 9.36 W
